time,counts
0,0
1,7
2,24
3,33
4,52
5,63
6,77
7,83
8,99
9,104
10,125
11,142
12,159
13,167
14,175
15,183
16,191
17,201
18,215
19,229
20,235
21,241
22,249
23,253
24,279
25,285
26,293
27,309
28,329
29,329
30,341
33,369
36,382
39,403
42,413
45,435
48,459
51,462
54,483
57,492
60,505
63,529
66,531
69,542
72,555
75,571
78,589
81,599
84,613
87,621
90,635
93,645
96,659
99,669
102,675
105,685
108,697
111,707
114,729
117,737
120,749
130,771
140,802
150,839
160,865
170,889
180,901
190,921
200,945
210,959
220,969
230,991
240,1009
250,1022
260,1034
270,1047
280,1054
290,1077
300,1094
